FileName,Status,Caption,Error
open_images_train_e1dc80b2fac29fbd_80.ogg,ok,In this image there are group of tortoise. In the background there is water and there is a wall.,
open_images_train_1839197b5f5f85c8_107.ogg,ok,"In this image you can see a girl sitting on a tortoise statue, you can see a flower pot, you can see wooden fencing, wooden fence, there are some trees and you can see the sky.",
open_images_train_25806c96df54912f_67.ogg,ok,"In the image there is a tortoise on the wooden surface, behind the wooden surface there is water on the right side.",
open_images_train_d2ad1302efa337de_4.ogg,ok,this one looks like an edited photo in which I can see a flag,
open_images_train_c4787435b7bbf16b_12.ogg,ok,this image we can see many turtles on the stones here we can see water glass door through which we can see some tins,
open_images_train_ab53cc956540593b_102.ogg,ok,if you total is on this side and there are few rocks beside them and there is water in the left top corner,
open_images_train_e8752f65735d411c_9.ogg,ok,In this picture we can see there are two tortoise on the blue object and on the outside there is strawberry. To the left side of the tortoise there is a wooden item.,
open_images_train_34975c13c0a0df0a_2.ogg,ok,"There is a sea and a woman is standing on the seashore and capturing the photo. From the front, there is a tortoise on the sand.",
open_images_train_13024b546450ceb3_30.ogg,ok,in this image you can see a tortoise on a grass and beside the tortoise there is there are a few green leaves on a plate on a plate and on the right side there is a wall,
open_images_train_0a0a1faf68221297_15.ogg,ok,"In this picture, I can see this is a small turtle. It has a heart shield. It is placed on a white and brown cloth.",
open_images_train_03ae26b652716ff1_79.ogg,ok,In this image I can see the rock. On the rock there are two tortoise which are in black and brown colour. In the background I can see the green colour of these on the water.,
open_images_train_0b1ba68da52435cf_63.ogg,ok,"In this image, we can see a toy, a toy cell, and there is a doll with a white background.",
open_images_train_bbcf0da4867df0b5_93.ogg,ok,"In this picture I can see a person with an oxygen cylinder, there is a turtle and there are reefs in the water.",
open_images_train_c4c90bd631d8383a_32.ogg,ok,"In this image I can see a tortoise, at the bottom there are few cabbage leaves. On the left side there is an object, seems to be a rock.",
open_images_train_38dcb6547ef7d6dc_41.ogg,ok,"In the center of the image a tortoise is there. On the left side of the image a person like shoe is there. In the background of the image we can see hills, trees, plants, flowers are there. At the bottom of the image grass is there. At the top of the image clouds are present in the sky.",
open_images_train_0697277f5429c4a0_34.ogg,ok,In this image in the center there is one tortoise and in the background there are glass doors and plants and lights at the bottom there is a walkway.,
open_images_train_9fb3889636939a0f_11.ogg,ok,"In this image, we can see a tortoise in the water.",
open_images_train_177d8eb0ac3dfade_26.ogg,ok,In this image I see a tortoise and I see the green color things over here and I say that it is blurred a bit in the background.,
open_images_train_227517b7ea174b01_27.ogg,ok,"Here in this picture we can see a tortoise present in a bin, and we can see some place in the bin is covered with sand, and other part is covered with carpet over there. And we can also see a fencing sight over there.",
open_images_train_25fe8770d9bf3e11_1.ogg,ok,In this picture we can see two turtles in the front There are two persons in the background A person on the right side is wearing a belt,
open_images_train_7f949da26f877898_120.ogg,ok,"In this image I can see a sea turtle, under the water there is a stone and there is a rock.",
open_images_train_156c564ede532770_77.ogg,ok,In this picture we can see a turtle on the ground,
open_images_train_73d877ba8acc2deb_35.ogg,ok,in front of picture we see the hands of person holding turtle in the background we see water and trees.,
open_images_train_2ebb9d99c480a51f_27.ogg,ok,"Here in this picture, in the middle we can see a rock stone presented in the water, and on that we can see a roof tortoise is presented, and we can also see some plants presented in the water, and in the front we can see a grass present on the ground in a blurry manner.",
open_images_train_71d00383681c7a80_89.ogg,ok,"There is a tortoise on the tree, these are trees, this is water.",
open_images_train_18f28e018dd6b8ac_61.ogg,ok,at the bottom of the image there is water above the water there is a tortoise,
open_images_train_680d02dbfabf858d_74.ogg,ok,"In the center of the picture, there is a paper weight on it, there is a tortoise doll, in the picture there is a paper on the table.",
open_images_train_e63207adc765d097_78.ogg,ok,"In this image I can see a turtle which is black, brown, cream and green in color on the ground. I can see some grass on the ground and the bloody background.",
open_images_train_7d56bbc4831a58b9_8.ogg,ok,"In the center of the image we can see turtles at the bottom, there is water in the background, there are rocks.",
open_images_train_61a6a8f51c309005_51.ogg,ok,"In this image, you can see a rock in the water and there is a turtle in the middle of the image.",
open_images_train_de26846ec7be0062_14.ogg,ok,"In this mess, there is a tortoise, on a beach, in the background, there are people swimming, in the sea, and there is the sky.",
open_images_train_1931389ae5c00c04_82.ogg,ok,"In this image there is a tortoise on the ground, there is grass on the ground, in the background there is a wooden wall.",
open_images_train_dacfaaf9b5255885_22.ogg,ok,In this picture we can see a tortoise and few things in the water.,
open_images_train_bae7b6a579ba83b7_71.ogg,ok,This picture we can see toys on the ground and in the background we can see one.,
open_images_train_65a2e084b3d9f214_71.ogg,ok,this picture we can see human and she's holding it her toys and in the background you can see ball pipe and some objects,
open_images_train_58835de2c2f20e3d_5.ogg,ok,In the image we can see drawing of people standing wearing clothes. Here you can see the sketch and you can even see the texture.,
open_images_train_1cee68095c8b4923_2.ogg,ok,"In the image, there is a small turtle on the ground.",
open_images_train_73972441eb67d089_40.ogg,ok,In this image we can see a tortoise on the grassy land.,
open_images_train_69fee489f81eaeff_75.ogg,ok,This image is taken Outers at the bottom of the image. There is a floor On the right side of the image. There is a tortoise on the ground And it is biting a shoe On the left side of the image there are two shoes on the floor,
open_images_train_5fb25c62d837afed_38.ogg,ok,"In this image, we can see two turtle eyes says And that bottom and in the background the image is not clear to describe",
open_images_train_d4878eb1ba1d02c4_104.ogg,ok,In this image you can see how to authorize You can see the ground with some objects and these hands and pieces of wood,
open_images_train_10b6e90936e60523_37.ogg,ok,In this picture I can see a tortoise on the ground. It is black and light brown in colour.,
open_images_train_3d99d0b27f2e3b69_34.ogg,ok,In this image in the foreground there is one turtle and in the background there are some trees,
